iter	Passed	Remaining
0	1	134
1	2	124
2	3	117
3	4	108
4	5	106
5	6	104
6	7	100
7	8	99
8	9	98
9	10	98
10	12	98
11	13	98
12	14	98
13	15	97
14	17	96
15	18	95
16	19	93
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	86
23	27	85
24	28	85
25	29	84
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	36	78
32	37	77
33	39	75
34	40	74
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	47	66
42	48	64
43	49	63
44	50	62
45	51	60
46	52	59
47	53	58
48	54	57
49	56	56
50	57	54
51	57	53
52	58	52
53	59	51
54	61	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	70	39
64	71	38
65	72	37
66	73	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
